age,tenure_months,monthly_charges,num_products,support_tickets,has_premium,contract_type,payment_method,churned
67,10,78.44,3,1,Yes,Month-to-month,Electronic check,0
57,118,86.93,3,2,No,Month-to-month,Electronic check,0
21,69,97.86,2,1,No,One year,Credit card,0
19,100,69.0,4,1,No,One year,Bank transfer,0
23,34,28.13,3,3,No,Two year,Electronic check,0
71,52,72.83,5,0,No,Month-to-month,Electronic check,0
59,95,77.77,2,0,Yes,One year,Electronic check,0
21,10,93.52,2,0,No,Two year,Electronic check,0
71,19,62.36,5,1,No,One year,Credit card,0
46,58,32.17,4,1,No,Month-to-month,Credit card,0
35,96,47.68,5,2,No,One year,Mailed check,0
43,1,55.55,4,2,Yes,Month-to-month,Credit card,0
61,120,83.64,5,3,Yes,Month-to-month,Electronic check,0
51,69,76.18,5,1,No,Month-to-month,Bank transfer,0
27,109,54.86,1,2,No,One year,Credit card,0
53,4,117.46,2,2,No,Month-to-month,Mailed check,0
31,16,79.65,5,0,Yes,Two year,Bank transfer,0
48,24,43.06,5,2,No,One year,Electronic check,0
65,80,29.61,3,0,No,Month-to-month,Electronic check,0
32,119,34.68,2,0,No,Two year,Electronic check,0
25,2,43.92,3,4,Yes,Month-to-month,Mailed check,0
31,113,35.46,2,1,No,Two year,Bank transfer,0
40,92,38.03,3,0,No,Month-to-month,Credit card,0
57,32,47.81,5,2,Yes,Month-to-month,Bank transfer,0
38,91,36.72,5,3,No,One year,Credit card,0
33,84,108.55,1,1,No,One year,Credit card,0
62,24,27.47,3,0,No,One year,Electronic check,0
35,12,71.58,4,0,No,Two year,Mailed check,1
64,50,60.25,1,1,Yes,One year,Electronic check,0
70,35,117.05,3,3,Yes,One year,Bank transfer,0
41,33,30.63,3,1,No,Two year,Credit card,0
43,33,59.01,1,0,Yes,One year,Electronic check,0
42,61,115.77,5,1,No,Month-to-month,Bank transfer,0
62,51,105.44,3,1,Yes,Two year,Bank transfer,0
58,43,100.64,5,0,No,Month-to-month,Bank transfer,0
46,101,45.11,1,0,No,One year,Mailed check,0
32,12,36.47,5,2,No,Two year,Mailed check,0
62,67,85.9,2,1,No,One year,Electronic check,0
18,65,111.79,4,0,No,One year,Electronic check,0
42,33,74.79,3,0,No,One year,Electronic check,0
24,40,76.26,4,1,Yes,Month-to-month,Bank transfer,0
26,74,47.3,5,0,No,Two year,Electronic check,0
41,43,95.91,3,3,No,Month-to-month,Credit card,0
18,44,38.07,5,0,No,Month-to-month,Mailed check,0
61,29,51.64,2,0,No,Month-to-month,Bank transfer,0
25,13,61.75,1,0,No,Month-to-month,Mailed check,1
41,12,69.91,3,4,No,Month-to-month,Bank transfer,0
28,95,43.57,2,1,Yes,Two year,Credit card,0
68,46,30.9,2,2,No,Month-to-month,Electronic check,0
34,2,80.13,3,2,No,Month-to-month,Electronic check,0
25,115,48.16,5,0,No,Month-to-month,Bank transfer,0
52,114,77.22,2,2,No,Month-to-month,Electronic check,0
52,35,34.83,4,1,Yes,One year,Electronic check,0
50,87,67.28,2,1,No,Month-to-month,Mailed check,1
22,81,72.39,5,2,No,Month-to-month,Electronic check,0
59,90,24.65,5,0,No,Month-to-month,Bank transfer,0
56,8,52.92,4,0,No,Month-to-month,Electronic check,0
58,93,32.85,2,1,No,Month-to-month,Credit card,0
45,26,25.79,5,2,Yes,Month-to-month,Credit card,0
24,74,117.8,3,0,No,One year,Bank transfer,0
26,90,51.51,1,0,No,Two year,Bank transfer,0
25,34,99.92,1,1,Yes,Month-to-month,Credit card,0
29,115,44.79,1,4,Yes,Two year,Electronic check,0
51,105,87.17,2,1,Yes,Month-to-month,Credit card,0
50,7,94.99,4,0,Yes,Month-to-month,Credit card,0
65,68,78.65,5,3,No,Two year,Bank transfer,0
40,58,66.33,3,2,No,Month-to-month,Bank transfer,0
41,117,60.4,3,3,Yes,Two year,Electronic check,0
54,114,54.14,2,1,No,Month-to-month,Mailed check,0
52,109,111.8,1,3,No,Month-to-month,Credit card,0
61,75,101.98,2,2,No,Month-to-month,Electronic check,0
57,29,115.33,4,0,No,One year,Credit card,0
39,120,31.84,4,3,No,One year,Electronic check,0
44,36,92.08,5,0,No,One year,Electronic check,0
52,89,112.68,5,1,No,Month-to-month,Electronic check,0
18,21,37.5,4,5,Yes,Month-to-month,Electronic check,0
52,36,26.1,4,1,Yes,Month-to-month,Mailed check,0
54,10,93.09,4,1,No,Month-to-month,Electronic check,0
64,101,76.55,2,1,No,Two year,Credit card,0
31,73,103.09,4,3,No,Month-to-month,Bank transfer,0
20,24,33.38,3,2,No,Two year,Electronic check,0
18,64,98.47,1,1,No,Two year,Bank transfer,0
22,99,39.52,4,0,No,Month-to-month,Credit card,0
43,49,35.75,1,3,No,One year,Bank transfer,0
31,99,35.81,2,0,No,Month-to-month,Electronic check,0
56,112,100.39,1,1,Yes,Month-to-month,Credit card,0
44,36,85.55,2,2,No,Month-to-month,Credit card,1
26,82,71.44,3,1,No,One year,Electronic check,0
32,113,55.13,2,0,Yes,Month-to-month,Electronic check,0
32,103,106.61,2,0,No,Month-to-month,Mailed check,0
43,96,58.47,5,1,Yes,Month-to-month,Electronic check,0
59,24,100.59,4,1,No,Month-to-month,Credit card,0
30,23,63.11,4,1,No,One year,Mailed check,0
68,62,56.93,3,2,Yes,One year,Credit card,0
49,96,65.44,3,1,Yes,Month-to-month,Bank transfer,0
56,37,49.43,4,2,No,Month-to-month,Electronic check,0
66,12,93.74,5,1,No,One year,Electronic check,0
69,113,69.42,4,2,Yes,Month-to-month,Bank transfer,0
49,55,42.56,5,3,No,One year,Bank transfer,0
21,13,108.83,3,0,Yes,Month-to-month,Credit card,1
47,23,57.62,1,1,No,Month-to-month,Electronic check,0
54,89,73.47,3,1,No,Month-to-month,Electronic check,0
40,99,109.51,3,1,No,Month-to-month,Electronic check,0
56,105,81.49,2,1,No,One year,Bank transfer,0
62,30,31.11,2,2,No,Month-to-month,Electronic check,0
32,17,112.83,2,1,No,One year,Mailed check,0
60,113,81.83,2,3,Yes,Two year,Bank transfer,0
46,62,52.76,5,0,Yes,Month-to-month,Credit card,0
53,84,33.33,4,0,Yes,One year,Electronic check,0
30,112,98.35,1,2,No,Month-to-month,Electronic check,0
49,89,81.07,3,0,Yes,Month-to-month,Bank transfer,0
24,86,72.47,5,4,No,One year,Bank transfer,0
68,13,108.26,1,0,No,Month-to-month,Electronic check,1
39,59,97.81,5,2,No,One year,Credit card,1
45,19,34.56,5,4,No,Month-to-month,Credit card,0
19,49,50.45,3,2,No,One year,Electronic check,0
59,100,44.17,4,2,No,Two year,Electronic check,0
62,12,93.37,2,4,No,Two year,Mailed check,1
70,61,22.83,4,1,No,One year,Bank transfer,0
23,105,76.09,3,0,No,One year,Electronic check,0
45,19,95.21,3,2,Yes,One year,Bank transfer,0
45,76,106.56,3,0,No,One year,Bank transfer,0
61,9,53.47,1,0,No,Month-to-month,Electronic check,0
61,71,101.05,4,1,Yes,Month-to-month,Bank transfer,0
37,28,30.49,4,0,No,Month-to-month,Credit card,0
47,78,103.55,5,0,Yes,Two year,Electronic check,0
28,95,32.16,5,0,No,Month-to-month,Electronic check,0
45,52,58.95,5,0,Yes,Month-to-month,Mailed check,0
42,83,98.67,3,1,No,Month-to-month,Credit card,0
56,111,34.39,4,3,No,One year,Credit card,0
50,16,42.26,3,0,No,One year,Mailed check,0
18,117,91.22,1,1,No,Month-to-month,Bank transfer,0
44,69,91.0,5,2,Yes,Month-to-month,Mailed check,0
69,99,83.17,3,0,No,Two year,Mailed check,0
30,12,88.41,3,1,Yes,Month-to-month,Electronic check,1
58,25,73.39,1,0,No,Month-to-month,Electronic check,0
20,52,44.5,2,3,No,One year,Electronic check,0
56,85,53.83,4,2,No,Two year,Mailed check,0
23,100,37.53,2,0,No,Month-to-month,Electronic check,0
25,53,109.71,5,1,No,One year,Credit card,0
44,23,77.43,3,1,No,Two year,Electronic check,0
26,16,59.3,1,3,No,Month-to-month,Electronic check,0
54,57,65.38,1,0,No,Two year,Mailed check,0
50,39,113.57,4,2,Yes,One year,Bank transfer,0
68,109,34.73,2,5,Yes,One year,Electronic check,0
59,53,77.71,4,2,Yes,One year,Electronic check,0
61,42,69.73,3,2,No,Month-to-month,Credit card,0
41,58,80.22,4,3,Yes,Month-to-month,Electronic check,0
32,39,21.3,1,1,No,Month-to-month,Electronic check,0
71,14,106.1,1,1,Yes,Month-to-month,Credit card,0
49,95,112.06,5,1,Yes,Month-to-month,Electronic check,0
49,5,75.62,5,3,No,Two year,Mailed check,0
41,35,88.68,3,3,No,Two year,Mailed check,0
58,87,111.1,2,0,Yes,One year,Electronic check,0
69,93,89.73,4,0,No,Two year,Electronic check,0
66,107,34.65,3,0,Yes,One year,Electronic check,0
66,75,76.73,5,2,No,Month-to-month,Electronic check,0
69,18,79.75,4,0,No,Month-to-month,Electronic check,0
29,111,61.62,5,1,Yes,Month-to-month,Credit card,0
56,76,92.63,4,0,No,One year,Mailed check,0
19,9,112.28,2,1,No,Month-to-month,Mailed check,0
20,74,111.41,3,3,No,One year,Credit card,0
66,58,64.27,4,1,Yes,Month-to-month,Bank transfer,0
54,108,30.74,1,0,Yes,One year,Electronic check,0
66,17,117.29,1,1,No,Two year,Credit card,0
34,102,102.8,4,2,No,One year,Electronic check,0
66,7,31.88,4,1,No,Two year,Electronic check,0
19,46,110.94,4,0,No,Two year,Bank transfer,0
19,13,105.88,1,0,No,Two year,Mailed check,0
45,40,71.02,1,2,Yes,Two year,Mailed check,0
71,42,78.21,4,3,Yes,Two year,Electronic check,0
40,9,59.12,5,3,No,One year,Mailed check,0
54,50,24.94,5,1,Yes,Month-to-month,Electronic check,0
49,27,52.79,2,1,Yes,Month-to-month,Credit card,0
50,66,99.22,3,2,Yes,One year,Electronic check,0
18,5,19.96,5,0,No,Month-to-month,Credit card,0
36,29,52.62,1,2,No,Month-to-month,Mailed check,0
19,37,59.04,5,3,Yes,Two year,Credit card,0
70,38,72.86,2,1,Yes,Two year,Bank transfer,1
61,83,110.84,2,3,Yes,Two year,Bank transfer,0
43,8,53.89,3,2,No,Month-to-month,Electronic check,0
49,112,53.95,5,1,No,Month-to-month,Electronic check,0
23,109,92.73,1,0,No,Month-to-month,Electronic check,0
49,65,64.41,1,3,No,Month-to-month,Credit card,0
21,86,41.8,4,1,No,Month-to-month,Credit card,0
28,116,64.43,1,3,No,Month-to-month,Mailed check,0
34,17,33.49,3,2,No,Two year,Electronic check,0
55,71,37.02,3,2,Yes,One year,Mailed check,0
41,89,68.99,1,0,Yes,Month-to-month,Bank transfer,0
22,45,61.1,1,1,Yes,Month-to-month,Mailed check,0
69,4,110.34,4,1,Yes,Month-to-month,Credit card,0
51,36,55.49,1,2,No,Month-to-month,Credit card,0
23,70,77.15,4,1,No,Two year,Electronic check,0
39,31,82.28,4,1,Yes,Month-to-month,Mailed check,1
28,19,20.8,1,2,No,Month-to-month,Mailed check,0
65,61,85.39,2,1,No,Month-to-month,Electronic check,0
33,108,37.18,2,0,Yes,Month-to-month,Electronic check,0
50,54,114.93,4,1,No,One year,Electronic check,0
26,39,34.26,1,0,No,One year,Credit card,0
23,91,60.67,2,0,No,One year,Mailed check,0
33,74,27.98,1,2,Yes,Month-to-month,Mailed check,0
46,90,118.49,1,1,Yes,One year,Credit card,0
20,19,69.37,1,0,No,One year,Bank transfer,1
37,39,78.62,5,2,Yes,Two year,Electronic check,0
53,67,26.16,1,1,No,Month-to-month,Bank transfer,0
36,45,93.97,5,1,No,Month-to-month,Mailed check,1
43,13,40.34,4,1,Yes,One year,Credit card,0
20,114,108.68,2,2,No,One year,Bank transfer,0
36,92,39.87,2,2,No,Month-to-month,Bank transfer,0
37,58,38.44,2,2,Yes,Month-to-month,Mailed check,0
49,20,23.13,2,1,No,Month-to-month,Credit card,0
24,92,66.38,2,1,No,Two year,Electronic check,0
69,72,75.59,2,2,No,Month-to-month,Electronic check,0
58,61,26.02,2,1,Yes,Two year,Electronic check,0
50,105,96.51,4,3,No,Month-to-month,Electronic check,0
57,39,64.51,1,1,No,Two year,Electronic check,0
56,1,71.57,3,0,Yes,Two year,Credit card,0
35,3,63.27,5,1,Yes,Month-to-month,Credit card,0
57,77,59.3,3,2,Yes,Two year,Electronic check,0
18,92,75.07,3,2,No,Month-to-month,Electronic check,0
28,62,34.92,1,4,Yes,Two year,Electronic check,0
45,63,37.57,1,1,Yes,One year,Electronic check,0
42,113,105.08,1,2,No,Month-to-month,Electronic check,0
67,25,113.45,2,0,Yes,One year,Credit card,0
40,56,56.57,4,0,Yes,Two year,Electronic check,0
48,33,46.38,2,3,Yes,Month-to-month,Mailed check,0
47,38,83.45,4,0,Yes,One year,Electronic check,0
59,117,60.09,4,2,Yes,One year,Credit card,0
52,6,22.02,3,3,No,Two year,Bank transfer,0
24,58,35.01,3,0,Yes,Month-to-month,Credit card,0
33,44,90.6,4,1,Yes,Month-to-month,Credit card,0
43,45,84.93,4,1,No,Month-to-month,Electronic check,1
65,32,22.19,2,1,No,One year,Electronic check,0
69,45,41.54,2,2,No,Month-to-month,Bank transfer,0
66,61,42.45,3,0,No,Two year,Mailed check,0
19,47,86.22,1,2,Yes,Month-to-month,Bank transfer,0
18,21,21.46,4,1,No,One year,Electronic check,0
65,80,29.84,2,2,No,Month-to-month,Electronic check,0
29,118,98.93,3,1,No,Month-to-month,Mailed check,0
22,85,37.23,2,1,No,Month-to-month,Bank transfer,0
54,75,84.32,4,3,Yes,Month-to-month,Bank transfer,0
49,101,43.15,4,0,No,One year,Electronic check,0
26,36,29.37,5,1,Yes,Two year,Mailed check,0
58,99,43.65,1,0,No,One year,Electronic check,0
52,19,91.22,5,1,No,Two year,Electronic check,0
36,20,104.47,3,2,No,Two year,Mailed check,0
65,57,101.94,2,0,Yes,One year,Electronic check,0
33,18,58.94,3,1,No,Two year,Electronic check,0
20,47,85.84,4,1,No,One year,Electronic check,0
37,105,39.85,5,6,No,Month-to-month,Electronic check,0
41,49,48.61,5,2,No,One year,Electronic check,0
71,14,108.51,5,2,No,Month-to-month,Electronic check,1
50,15,20.79,3,0,No,One year,Electronic check,0
41,31,27.99,4,0,Yes,One year,Electronic check,0
69,1,40.14,2,1,No,Month-to-month,Bank transfer,1
28,117,22.13,2,1,Yes,Month-to-month,Electronic check,0
66,54,37.52,3,1,No,Two year,Electronic check,0
25,118,77.4,5,0,No,One year,Electronic check,0
53,3,61.35,1,2,No,Month-to-month,Bank transfer,0
55,16,108.14,3,3,Yes,One year,Credit card,1
57,87,100.67,3,4,No,One year,Bank transfer,0
37,57,53.44,4,1,No,Month-to-month,Bank transfer,0
52,75,45.26,2,3,No,Two year,Mailed check,0
65,12,57.2,3,0,No,One year,Bank transfer,0
42,74,78.12,3,2,Yes,Month-to-month,Mailed check,0
52,96,46.12,5,0,No,Two year,Electronic check,0
42,16,81.48,5,1,No,Two year,Electronic check,0
46,72,60.15,1,1,Yes,Month-to-month,Electronic check,0
35,102,74.32,4,1,Yes,Month-to-month,Credit card,0
63,76,62.81,1,2,No,Month-to-month,Mailed check,0
35,24,48.74,5,1,No,One year,Bank transfer,0
19,28,113.68,2,0,No,One year,Mailed check,1
71,117,95.33,5,3,No,One year,Mailed check,0
52,8,33.41,4,1,Yes,Two year,Electronic check,0
33,92,105.74,5,0,Yes,One year,Electronic check,0
58,36,67.9,4,2,Yes,Month-to-month,Credit card,1
53,90,108.33,4,1,Yes,Month-to-month,Bank transfer,0
50,8,98.93,4,2,No,Month-to-month,Electronic check,0
21,58,61.72,4,1,Yes,Month-to-month,Credit card,0
50,60,21.73,4,0,No,One year,Electronic check,0
31,50,46.18,2,2,No,Two year,Credit card,0
38,28,73.28,1,1,No,Month-to-month,Mailed check,0
65,92,82.4,3,2,No,One year,Electronic check,0
37,101,45.11,1,1,No,One year,Electronic check,0
25,41,33.34,4,3,Yes,Month-to-month,Electronic check,0
24,100,102.41,2,2,Yes,Month-to-month,Electronic check,0
20,64,117.25,5,1,Yes,Month-to-month,Bank transfer,0
34,27,71.7,2,0,Yes,Month-to-month,Credit card,0
50,118,36.55,4,1,No,Two year,Credit card,0
65,63,46.54,2,1,Yes,Month-to-month,Electronic check,0
29,17,21.33,2,1,Yes,Month-to-month,Mailed check,0
68,73,110.29,4,3,No,Month-to-month,Electronic check,0
39,33,31.19,2,1,No,Two year,Electronic check,0
39,117,76.75,3,2,No,Month-to-month,Bank transfer,0
63,84,46.71,3,3,No,Month-to-month,Mailed check,0
47,77,74.53,2,1,Yes,Month-to-month,Electronic check,0
55,92,84.19,5,1,No,Month-to-month,Electronic check,0
55,112,101.89,4,3,No,Month-to-month,Credit card,0
62,29,40.0,3,2,No,One year,Electronic check,0
68,13,20.59,5,1,No,Month-to-month,Mailed check,0
71,46,33.09,2,3,Yes,Month-to-month,Mailed check,0
25,35,108.87,5,3,No,Two year,Electronic check,0
44,6,106.28,1,1,No,Month-to-month,Electronic check,0
44,82,78.82,3,2,Yes,Month-to-month,Mailed check,0
51,115,79.13,2,3,No,Month-to-month,Bank transfer,0
38,69,85.54,4,0,No,Two year,Mailed check,0
47,47,36.91,2,0,Yes,Month-to-month,Bank transfer,0
50,25,110.3,4,0,No,Two year,Credit card,1
45,66,61.08,2,3,No,One year,Bank transfer,0
64,10,57.55,5,4,No,Month-to-month,Mailed check,0
50,56,71.03,5,0,Yes,Two year,Mailed check,0
22,30,24.16,5,3,No,Month-to-month,Bank transfer,0
65,114,36.01,1,2,Yes,Month-to-month,Bank transfer,0
36,109,92.79,4,2,No,Two year,Mailed check,0
21,5,27.72,5,0,Yes,One year,Bank transfer,0
52,119,79.39,1,3,No,One year,Electronic check,0
66,120,43.86,4,1,No,Month-to-month,Mailed check,0
34,33,58.16,2,2,No,Month-to-month,Electronic check,0
61,118,48.17,1,1,No,One year,Electronic check,0
45,65,54.82,3,1,No,Month-to-month,Electronic check,0
47,18,90.9,1,1,No,Month-to-month,Bank transfer,0
46,96,49.0,1,1,Yes,Month-to-month,Mailed check,0
63,111,75.74,4,1,No,Month-to-month,Electronic check,0
70,49,66.77,2,2,Yes,Two year,Mailed check,0
23,11,85.4,3,1,No,Month-to-month,Mailed check,1
52,85,112.53,5,0,Yes,Two year,Electronic check,0
58,26,92.24,5,2,No,Month-to-month,Bank transfer,0
54,63,40.84,1,0,No,One year,Credit card,0
41,89,22.6,4,3,No,Month-to-month,Credit card,0
46,86,45.54,4,1,Yes,Month-to-month,Bank transfer,0
66,59,78.59,5,0,No,Month-to-month,Mailed check,0
63,27,24.61,3,1,No,Month-to-month,Electronic check,0
70,49,68.79,2,2,No,Month-to-month,Electronic check,0
48,77,78.77,3,0,Yes,Two year,Electronic check,0
52,33,52.69,2,0,No,One year,Credit card,0
50,98,96.05,5,2,No,Month-to-month,Electronic check,0
69,105,30.09,2,1,No,Month-to-month,Electronic check,0
38,99,26.96,4,1,No,Month-to-month,Credit card,0
49,1,91.81,1,2,No,One year,Credit card,0
40,21,68.7,1,1,Yes,One year,Bank transfer,0
50,112,87.86,5,2,Yes,Two year,Electronic check,0
20,55,62.68,4,1,Yes,Month-to-month,Electronic check,0
35,6,43.97,3,0,Yes,Month-to-month,Mailed check,0
42,92,100.84,4,4,No,Month-to-month,Electronic check,0
59,81,98.88,1,0,No,One year,Electronic check,0
48,69,88.48,1,1,Yes,One year,Mailed check,0
71,95,46.52,4,2,No,One year,Credit card,0
20,5,78.11,4,0,Yes,One year,Electronic check,0
57,102,55.34,1,2,No,Month-to-month,Bank transfer,0
63,3,28.59,3,2,No,One year,Bank transfer,0
41,53,110.59,5,2,Yes,Month-to-month,Electronic check,0
67,23,33.09,5,1,Yes,One year,Bank transfer,0
49,101,113.86,4,2,No,Month-to-month,Electronic check,0
64,53,63.79,5,2,No,Month-to-month,Electronic check,0
39,37,37.88,1,1,No,Two year,Bank transfer,0
40,74,73.31,1,3,No,Two year,Electronic check,0
19,74,106.18,4,2,No,Two year,Credit card,0
44,83,92.21,4,1,Yes,Month-to-month,Electronic check,0
59,17,99.59,4,2,No,One year,Bank transfer,0
19,85,84.92,3,2,No,Month-to-month,Mailed check,0
43,78,88.24,5,3,No,Two year,Electronic check,0
34,73,103.83,4,2,Yes,Month-to-month,Electronic check,0
57,110,44.29,2,2,No,Two year,Bank transfer,0
50,1,68.1,2,2,No,Two year,Credit card,0
26,51,41.47,1,2,No,One year,Credit card,0
60,45,117.58,5,1,Yes,Month-to-month,Mailed check,1
71,77,113.25,4,3,No,Month-to-month,Bank transfer,0
65,4,23.42,2,1,Yes,Two year,Bank transfer,0
56,62,89.56,5,0,No,Month-to-month,Bank transfer,0
46,65,111.38,1,1,No,Two year,Mailed check,0
59,113,37.43,3,0,No,Month-to-month,Bank transfer,0
43,104,75.9,5,1,No,Month-to-month,Credit card,0
52,32,110.41,5,0,No,Two year,Mailed check,0
67,34,22.87,3,1,No,One year,Credit card,0
42,92,88.75,5,3,Yes,One year,Bank transfer,0
41,95,49.03,1,3,No,One year,Electronic check,0
30,72,111.29,1,2,No,Month-to-month,Electronic check,0
24,39,115.93,3,3,No,One year,Mailed check,0
53,26,113.27,4,1,Yes,Month-to-month,Mailed check,0
62,34,66.59,2,0,No,Two year,Credit card,0
37,54,105.1,4,0,No,Two year,Electronic check,0
18,118,103.36,5,1,Yes,Month-to-month,Credit card,0
25,3,51.19,2,0,No,One year,Credit card,0
63,50,101.81,3,0,Yes,One year,Electronic check,0
33,12,23.17,3,5,Yes,Month-to-month,Credit card,0
31,65,78.71,2,2,Yes,Two year,Credit card,0
29,54,42.34,1,1,Yes,Month-to-month,Bank transfer,0
68,108,31.47,2,1,No,Month-to-month,Credit card,0
40,5,27.14,5,3,Yes,Month-to-month,Credit card,0
32,94,88.64,1,0,No,Month-to-month,Bank transfer,0
45,94,53.25,3,2,Yes,One year,Electronic check,0
51,57,91.47,2,1,No,One year,Credit card,1
19,17,25.99,4,1,No,One year,Bank transfer,0
49,112,50.81,4,2,Yes,One year,Bank transfer,0
40,47,73.07,5,2,Yes,Month-to-month,Electronic check,0
39,23,98.02,4,0,No,Month-to-month,Bank transfer,1
68,79,51.15,2,1,No,Month-to-month,Electronic check,0
42,101,81.65,2,3,No,Month-to-month,Credit card,0
39,85,107.48,4,0,Yes,One year,Electronic check,0
39,14,80.66,2,0,No,Month-to-month,Electronic check,0
66,66,42.63,5,2,No,Month-to-month,Mailed check,0
69,75,21.92,1,3,No,Month-to-month,Electronic check,0
59,51,105.9,5,2,Yes,Two year,Bank transfer,0
23,103,21.61,5,1,No,Two year,Credit card,0
32,38,106.36,2,1,Yes,One year,Credit card,0
71,64,72.02,1,1,No,Two year,Electronic check,0
60,98,112.75,2,3,No,One year,Electronic check,0
54,38,98.82,3,3,Yes,One year,Credit card,0
50,50,118.59,2,1,No,Month-to-month,Credit card,0
25,98,54.33,2,0,Yes,One year,Mailed check,1
70,82,95.68,2,4,No,One year,Mailed check,0
61,30,59.41,1,1,No,One year,Electronic check,0
61,79,67.15,2,1,No,One year,Credit card,0
22,91,81.81,1,2,Yes,Month-to-month,Bank transfer,1
56,51,106.26,4,4,No,One year,Electronic check,0
21,63,117.22,3,1,No,Two year,Electronic check,0
23,98,95.79,1,2,No,Month-to-month,Credit card,0
62,52,60.98,4,0,No,One year,Electronic check,0
49,38,61.34,1,4,No,Month-to-month,Electronic check,0
69,97,92.74,1,1,No,One year,Mailed check,0
47,88,43.21,3,0,No,One year,Electronic check,0
64,79,30.47,5,1,Yes,Month-to-month,Electronic check,0
52,30,54.71,5,2,No,One year,Credit card,0
57,119,48.02,1,3,No,Month-to-month,Credit card,0
69,106,48.92,2,1,No,One year,Credit card,0
33,51,42.7,4,2,No,Month-to-month,Credit card,0
30,81,23.68,2,2,No,One year,Mailed check,0
67,5,21.27,2,1,Yes,Month-to-month,Credit card,1
59,29,117.58,1,1,No,One year,Mailed check,1
