age,department,job_role,salary_band,years_at_company,overtime,last_promotion_years,wfh_days_per_week,performance_rating,left_company
50.0,HR,Associate,Medium,6.0,Yes,3.0,4.0,4.0,1
,Eng,Director,Low,9.0,No,2.0,0.0,2.0,0
58.0,sales,Lead,High,15.0,Yes,9.0,3.0,4.0,0
41.0,marketing,Analyst,Medium,7.0,No,4.0,2.0,4.0,0
29.0,Eng,Analyst,Medium,8.0,No,3.0,3.0,,0
28.0,Engineering,Analyst,Medium,3.0,No,8.0,2.0,,0
27.0,hr,Analyst,Medium,7.0,No,7.0,3.0,3.0,1
32.0,Human Resources,Associate,Medium,6.0,No,6.0,3.0,,0
39.0,Eng,Analyst,,14.0,No,7.0,5.0,,1
50.0,Eng,Analyst,Senior,2.0,Yes,4.0,0.0,5.0,0
46.0,Engineering,Specialist,Medium,16.0,No,3.0,,4.0,0
42.0,ENGINEERING,Director,Medium,10.0,Yes,6.0,2.0,1.0,0
24.0,finance,Analyst,High,8.0,No,0.0,4.0,2.0,0
39.0,Mktg.,Analyst,Medium,4.0,Yes,5.0,5.0,,0
45.0,Sales Dept,Analyst,High,9.0,No,,0.0,2.0,0
59.0,finance,Lead,Medium,14.0,No,6.0,0.0,1.0,0
31.0,Mktg,Specialist,High,13.0,Yes,1.0,,3.0,1
48.0,Mktg.,Specialist,,3.0,No,6.0,1.0,5.0,0
33.0,sales,Lead,High,19.0,Yes,5.0,5.0,3.0,0
28.0,Sales,Director,High,1.0,No,4.0,0.0,3.0,0
38.0,marketing,Analyst,Low,11.0,Yes,3.0,,4.0,0
22.0,Engineering,Manager,Low,0.0,No,0.0,,1.0,0
47.0,Eng.,Associate,Medium,19.0,No,1.0,3.0,5.0,0
36.0,Eng.,Specialist,Senior,4.0,No,6.0,5.0,3.0,0
54.0,Eng,Manager,Low,5.0,Yes,,3.0,3.0,1
58.0,Sales Dept,Director,Medium,10.0,No,2.0,1.0,,0
52.0,marketing,Lead,Low,7.0,No,4.0,1.0,5.0,0
,SALES,Analyst,Medium,6.0,No,7.0,1.0,3.0,0
22.0,engineering,Specialist,Medium,3.0,No,7.0,2.0,3.0,1
29.0,Mktg,Analyst,Senior,5.0,No,5.0,5.0,4.0,0
33.0,engineering,Manager,Medium,15.0,Yes,4.0,4.0,3.0,0
40.0,Sales Dept,Analyst,High,19.0,No,1.0,4.0,5.0,0
46.0,hr,Associate,,14.0,Yes,8.0,,5.0,1
53.0,engineering,Director,,13.0,Yes,0.0,3.0,2.0,0
33.0,hr,Manager,Medium,11.0,Yes,1.0,3.0,5.0,0
34.0,Human Resources,Specialist,Medium,11.0,No,,5.0,,1
49.0,Engineering,Associate,Senior,15.0,No,3.0,0.0,4.0,0
22.0,Eng.,Associate,High,14.0,No,3.0,3.0,1.0,0
27.0,Finance,Analyst,Low,12.0,Yes,4.0,,5.0,0
29.0,Eng.,Specialist,Low,10.0,No,4.0,,4.0,0
25.0,Human Resources,Analyst,Low,16.0,No,7.0,,4.0,0
26.0,Mktg,Analyst,Senior,14.0,No,2.0,2.0,,0
46.0,ENGINEERING,Analyst,High,13.0,Yes,5.0,0.0,,0
43.0,ENGINEERING,Manager,High,9.0,Yes,2.0,0.0,3.0,0
49.0,SALES,Specialist,Medium,11.0,Yes,1.0,5.0,,0
60.0,sales,Analyst,,15.0,No,7.0,,4.0,0
44.0,Mktg,Manager,Medium,14.0,No,0.0,,5.0,0
25.0,finance,Specialist,Low,9.0,Yes,,2.0,5.0,0
25.0,hr,Associate,Medium,3.0,Yes,6.0,5.0,3.0,0
42.0,Eng,Associate,Low,8.0,No,9.0,1.0,3.0,1
58.0,H.R.,Analyst,,19.0,No,3.0,2.0,,0
23.0,HR,Associate,High,8.0,No,2.0,0.0,4.0,0
28.0,finance,Analyst,High,19.0,No,5.0,1.0,3.0,0
37.0,sales,Lead,Medium,10.0,No,8.0,,4.0,0
38.0,H.R.,Director,Medium,10.0,Yes,8.0,0.0,2.0,1
41.0,marketing,Associate,Medium,6.0,No,3.0,,2.0,0
44.0,SALES,Analyst,High,9.0,No,9.0,1.0,3.0,0
55.0,FINANCE,Analyst,High,3.0,No,,1.0,2.0,0
32.0,ENGINEERING,Analyst,High,4.0,Yes,8.0,0.0,4.0,0
55.0,Eng.,Manager,High,4.0,No,1.0,,2.0,0
54.0,hr,Manager,Low,10.0,No,1.0,5.0,2.0,0
47.0,Eng.,Associate,Medium,8.0,No,4.0,,1.0,0
23.0,Human Resources,Analyst,Medium,15.0,Yes,0.0,5.0,4.0,0
44.0,marketing,Associate,Medium,8.0,No,7.0,0.0,4.0,0
43.0,engineering,Analyst,,3.0,No,4.0,3.0,2.0,0
55.0,sales,Analyst,Medium,1.0,No,9.0,3.0,,1
36.0,H.R.,Associate,Low,13.0,No,1.0,1.0,3.0,0
31.0,Mktg.,Associate,Medium,2.0,No,8.0,,3.0,1
36.0,FINANCE,Manager,Senior,17.0,No,1.0,1.0,4.0,0
50.0,HR,Analyst,Low,5.0,No,6.0,0.0,3.0,0
44.0,SALES,Associate,Medium,10.0,No,7.0,,4.0,1
38.0,engineering,Manager,Medium,17.0,No,,4.0,1.0,0
30.0,Finance,Manager,Low,11.0,No,6.0,3.0,5.0,0
57.0,Sales,Associate,Medium,4.0,No,0.0,1.0,2.0,0
30.0,Eng,Manager,High,8.0,No,3.0,1.0,,0
37.0,hr,Analyst,Medium,19.0,No,6.0,2.0,5.0,0
57.0,Human Resources,Specialist,High,17.0,No,0.0,1.0,,0
,Mktg,Associate,Low,18.0,Yes,0.0,,3.0,0
52.0,Sales Dept,Analyst,Low,2.0,No,5.0,3.0,,1
27.0,Mktg,Director,Senior,8.0,No,3.0,2.0,4.0,0
31.0,Mktg,Analyst,Medium,3.0,No,2.0,0.0,3.0,0
37.0,Human Resources,Specialist,Medium,16.0,No,4.0,,2.0,0
25.0,Fin,Associate,High,16.0,Yes,8.0,3.0,4.0,1
43.0,Sales,Analyst,Medium,1.0,No,9.0,0.0,3.0,0
,hr,Analyst,High,8.0,No,9.0,4.0,4.0,0
37.0,finance,Analyst,Low,8.0,No,9.0,1.0,3.0,1
50.0,ENGINEERING,Director,Low,4.0,Yes,2.0,3.0,3.0,0
27.0,Eng.,Associate,,14.0,Yes,4.0,2.0,3.0,0
47.0,H.R.,Analyst,High,14.0,No,9.0,1.0,,0
32.0,ENGINEERING,Analyst,Low,2.0,No,4.0,,,0
45.0,Eng,Manager,High,18.0,No,8.0,0.0,3.0,0
50.0,ENGINEERING,Analyst,Senior,2.0,Yes,,2.0,3.0,0
24.0,Sales Dept,Manager,Medium,5.0,No,3.0,4.0,3.0,0
31.0,Eng,Director,Medium,3.0,Yes,0.0,,3.0,0
22.0,Sales,Associate,Medium,12.0,Yes,9.0,3.0,3.0,1
47.0,FINANCE,Lead,Medium,12.0,No,4.0,2.0,4.0,0
33.0,marketing,Lead,Medium,10.0,No,,0.0,3.0,0
35.0,Marketing,Director,Medium,4.0,Yes,,,3.0,0
46.0,Eng,Associate,Senior,0.0,Yes,9.0,,3.0,1
29.0,Mktg,Lead,Senior,8.0,Yes,9.0,5.0,3.0,1
25.0,Mktg.,Analyst,High,16.0,No,6.0,2.0,3.0,0
49.0,marketing,Analyst,,0.0,No,,3.0,5.0,0
28.0,engineering,Analyst,,2.0,No,9.0,0.0,4.0,0
31.0,SALES,Director,Medium,14.0,No,3.0,1.0,4.0,0
57.0,Human Resources,Associate,High,9.0,No,8.0,,4.0,1
23.0,marketing,Manager,Medium,7.0,Yes,0.0,2.0,3.0,0
47.0,Mktg.,Director,Senior,11.0,No,,,2.0,0
35.0,marketing,Director,Medium,14.0,No,7.0,3.0,,0
37.0,sales,Analyst,Medium,8.0,Yes,4.0,3.0,3.0,1
,Human Resources,Manager,High,9.0,Yes,,,3.0,0
43.0,ENGINEERING,Analyst,Senior,19.0,Yes,,4.0,,0
25.0,Marketing,Analyst,Low,8.0,Yes,3.0,,,0
40.0,finance,Specialist,,14.0,No,5.0,5.0,3.0,1
23.0,HR,Specialist,Medium,0.0,No,,1.0,3.0,1
60.0,engineering,Specialist,Low,1.0,No,,,,1
30.0,Eng,Associate,High,18.0,No,5.0,1.0,4.0,0
40.0,Mktg,Associate,Medium,13.0,No,1.0,3.0,4.0,0
37.0,hr,Associate,Medium,7.0,No,4.0,4.0,5.0,0
46.0,Marketing,Associate,Medium,5.0,Yes,2.0,,1.0,0
39.0,Sales Dept,Associate,Medium,11.0,No,6.0,0.0,3.0,0
44.0,Eng.,Director,Medium,14.0,No,3.0,5.0,3.0,0
42.0,Mktg.,Manager,Medium,13.0,Yes,,,,0
32.0,Marketing,Associate,Low,0.0,Yes,5.0,4.0,5.0,0
60.0,finance,Manager,,10.0,No,5.0,4.0,5.0,0
25.0,SALES,Director,Medium,2.0,No,6.0,5.0,,0
46.0,H.R.,Manager,,18.0,Yes,7.0,2.0,1.0,0
53.0,sales,Analyst,Medium,17.0,No,2.0,,,0
51.0,marketing,Lead,Medium,19.0,No,5.0,4.0,4.0,0
47.0,H.R.,Analyst,,1.0,No,9.0,,,1
57.0,ENGINEERING,Manager,Medium,6.0,Yes,1.0,5.0,,0
55.0,Sales,Analyst,Medium,7.0,No,8.0,4.0,2.0,1
30.0,hr,Specialist,Medium,18.0,No,1.0,4.0,3.0,0
33.0,Marketing,Director,Medium,14.0,Yes,2.0,0.0,5.0,0
23.0,Eng.,Associate,Low,9.0,No,9.0,4.0,3.0,0
59.0,Sales,Specialist,Medium,0.0,No,1.0,0.0,3.0,0
26.0,Marketing,Manager,Low,5.0,Yes,8.0,2.0,2.0,0
26.0,finance,Analyst,Low,12.0,Yes,0.0,3.0,3.0,0
43.0,Eng.,Analyst,Senior,13.0,Yes,,0.0,4.0,0
26.0,Human Resources,Associate,Medium,2.0,No,0.0,,3.0,0
25.0,Engineering,Associate,Medium,10.0,Yes,4.0,,3.0,0
30.0,Eng.,Analyst,Medium,2.0,No,7.0,0.0,4.0,1
50.0,engineering,Analyst,,18.0,No,7.0,5.0,1.0,0
43.0,HR,Analyst,Medium,9.0,Yes,7.0,,4.0,0
48.0,Engineering,Associate,High,14.0,No,1.0,1.0,3.0,0
31.0,hr,Analyst,Medium,10.0,No,7.0,2.0,3.0,0
37.0,Sales,Analyst,Senior,14.0,No,4.0,0.0,4.0,0
31.0,Fin,Manager,High,12.0,Yes,,5.0,4.0,0
27.0,H.R.,Associate,High,4.0,No,6.0,4.0,,0
26.0,marketing,Associate,Low,3.0,No,5.0,4.0,,0
27.0,HR,Manager,Low,12.0,No,,3.0,3.0,0
46.0,marketing,Associate,Low,8.0,Yes,0.0,2.0,,0
25.0,Human Resources,Director,Low,16.0,No,,,,1
61.0,Engineering,Lead,High,1.0,No,5.0,5.0,4.0,0
53.0,Eng,Analyst,Low,4.0,Yes,,,1.0,1
56.0,Mktg,Associate,Low,15.0,No,6.0,,3.0,0
31.0,Sales Dept,Manager,Low,6.0,No,,4.0,4.0,0
55.0,Sales Dept,Analyst,Low,0.0,No,,3.0,3.0,1
57.0,SALES,Associate,Low,11.0,No,0.0,1.0,4.0,0
27.0,sales,Analyst,High,10.0,No,8.0,5.0,3.0,0
37.0,marketing,Manager,Medium,11.0,No,3.0,1.0,3.0,0
40.0,Eng,Manager,Low,18.0,No,,4.0,5.0,0
55.0,Finance,Analyst,Medium,11.0,No,1.0,2.0,3.0,0
46.0,FINANCE,Manager,Medium,11.0,No,9.0,0.0,,1
52.0,FINANCE,Manager,Low,13.0,No,,2.0,4.0,0
38.0,sales,Associate,Medium,1.0,No,1.0,2.0,5.0,0
51.0,sales,Associate,High,1.0,No,2.0,,5.0,0
60.0,finance,Analyst,High,3.0,No,8.0,5.0,4.0,0
52.0,Finance,Director,High,19.0,Yes,,1.0,1.0,0
40.0,hr,Specialist,Low,15.0,Yes,5.0,1.0,5.0,0
56.0,SALES,Analyst,,9.0,No,3.0,5.0,4.0,0
50.0,Mktg.,Manager,High,12.0,Yes,6.0,0.0,3.0,0
22.0,H.R.,Associate,Senior,1.0,Yes,5.0,3.0,4.0,1
25.0,Engineering,Associate,Low,2.0,No,9.0,2.0,,0
49.0,Mktg.,Analyst,Senior,18.0,Yes,8.0,,1.0,1
39.0,hr,Manager,High,5.0,Yes,,1.0,,0
47.0,marketing,Director,High,18.0,No,9.0,5.0,3.0,0
61.0,sales,Lead,Low,19.0,No,3.0,4.0,3.0,0
40.0,Mktg.,Analyst,High,18.0,No,0.0,,3.0,0
27.0,Finance,Lead,,7.0,No,1.0,,4.0,0
22.0,Marketing,Manager,Medium,13.0,No,7.0,4.0,3.0,0
29.0,HR,Analyst,Medium,9.0,No,9.0,2.0,3.0,0
54.0,Marketing,Manager,Senior,2.0,No,7.0,0.0,4.0,0
42.0,marketing,Associate,Medium,5.0,Yes,1.0,4.0,5.0,0
,Mktg.,Analyst,Medium,14.0,Yes,,,,0
46.0,Sales Dept,Manager,Medium,17.0,No,,0.0,4.0,0
40.0,Sales,Specialist,Senior,13.0,No,6.0,1.0,,0
50.0,Sales,Lead,Low,18.0,No,3.0,5.0,4.0,0
31.0,ENGINEERING,Manager,Medium,9.0,No,7.0,5.0,3.0,0
33.0,Eng.,Analyst,Medium,14.0,No,8.0,,4.0,0
54.0,ENGINEERING,Associate,High,3.0,No,8.0,5.0,3.0,0
28.0,hr,Associate,Medium,1.0,No,2.0,4.0,1.0,0
38.0,Engineering,Analyst,Senior,2.0,Yes,4.0,0.0,3.0,0
31.0,Engineering,Lead,Senior,6.0,No,5.0,5.0,4.0,0
52.0,Eng,Analyst,Low,15.0,Yes,5.0,1.0,2.0,0
27.0,Mktg,Associate,Medium,9.0,No,9.0,,2.0,1
38.0,engineering,Manager,Low,18.0,No,7.0,5.0,4.0,0
58.0,Sales Dept,Director,Medium,16.0,No,,2.0,5.0,0
39.0,Engineering,Analyst,Medium,18.0,No,5.0,1.0,4.0,0
47.0,HR,Associate,Senior,4.0,No,3.0,1.0,3.0,0
,FINANCE,Lead,High,19.0,No,,3.0,2.0,0
29.0,finance,Manager,Low,12.0,No,7.0,2.0,4.0,0
45.0,Sales Dept,Director,,12.0,No,2.0,,1.0,0
34.0,Mktg,Analyst,Medium,10.0,No,,5.0,4.0,0
50.0,Mktg,Specialist,Medium,10.0,No,2.0,,3.0,0
53.0,Sales,Lead,Low,15.0,Yes,7.0,1.0,,0
45.0,SALES,Associate,High,14.0,No,0.0,,3.0,0
37.0,Eng,Director,Senior,16.0,No,0.0,4.0,3.0,0
32.0,hr,Lead,Medium,17.0,No,,2.0,4.0,0
53.0,Engineering,Analyst,High,18.0,No,9.0,,,0
27.0,SALES,Manager,Medium,3.0,No,8.0,0.0,3.0,1
56.0,Sales,Director,High,4.0,No,3.0,2.0,4.0,0
54.0,Marketing,Manager,Medium,6.0,No,,2.0,3.0,0
39.0,hr,Specialist,Low,1.0,No,4.0,5.0,3.0,0
58.0,Mktg.,Associate,,0.0,Yes,0.0,4.0,3.0,0
34.0,Mktg.,Analyst,Medium,11.0,No,5.0,5.0,2.0,0
31.0,SALES,Manager,High,9.0,Yes,8.0,2.0,1.0,0
58.0,Engineering,Manager,Medium,7.0,Yes,2.0,2.0,4.0,0
47.0,sales,Director,Low,0.0,No,2.0,4.0,4.0,0
38.0,finance,Manager,Low,11.0,Yes,1.0,4.0,3.0,0
22.0,finance,Analyst,Medium,1.0,No,3.0,3.0,3.0,0
46.0,Marketing,Associate,Medium,9.0,No,9.0,1.0,5.0,0
55.0,Engineering,Specialist,Medium,16.0,No,2.0,1.0,,0
60.0,Eng,Lead,Medium,2.0,No,1.0,3.0,,0
31.0,SALES,Lead,Medium,6.0,No,0.0,1.0,,0
41.0,HR,Associate,High,11.0,No,2.0,2.0,,0
28.0,marketing,Analyst,Medium,7.0,Yes,,3.0,,0
37.0,hr,Specialist,Senior,19.0,No,,3.0,2.0,0
58.0,Marketing,Manager,Medium,11.0,No,8.0,1.0,2.0,1
50.0,engineering,Associate,Medium,2.0,No,4.0,,4.0,0
33.0,Engineering,Director,Low,16.0,No,,1.0,4.0,0
38.0,ENGINEERING,Specialist,Medium,8.0,No,4.0,,4.0,0
41.0,marketing,Manager,Low,9.0,No,4.0,0.0,2.0,1
,Eng,Analyst,Medium,5.0,No,4.0,3.0,4.0,0
40.0,Mktg.,Director,Low,0.0,Yes,6.0,0.0,4.0,0
33.0,Marketing,Analyst,Medium,11.0,No,,,4.0,0
42.0,Sales,Lead,High,4.0,No,6.0,,1.0,0
55.0,Eng.,Director,Medium,12.0,No,,0.0,4.0,0
28.0,Engineering,Director,,14.0,Yes,,5.0,,0
56.0,marketing,Specialist,Low,10.0,No,1.0,4.0,4.0,0
36.0,sales,Associate,High,7.0,No,4.0,2.0,,0
22.0,sales,Manager,Low,4.0,Yes,7.0,5.0,,1
47.0,hr,Manager,Medium,1.0,No,3.0,4.0,,0
56.0,marketing,Director,,11.0,No,1.0,,2.0,0
46.0,SALES,Specialist,Medium,1.0,No,9.0,4.0,4.0,1
36.0,marketing,Associate,,15.0,No,2.0,4.0,3.0,0
43.0,H.R.,Lead,High,2.0,No,,1.0,4.0,0
27.0,Mktg,Analyst,Low,9.0,Yes,8.0,,5.0,0
36.0,Sales,Analyst,Low,18.0,No,7.0,5.0,,0
45.0,Sales Dept,Analyst,Low,7.0,Yes,,0.0,3.0,1
42.0,H.R.,Associate,Low,6.0,No,7.0,5.0,3.0,0
28.0,Sales Dept,Analyst,Low,0.0,Yes,7.0,5.0,2.0,0
50.0,Marketing,Analyst,Medium,11.0,No,7.0,4.0,4.0,0
53.0,hr,Director,Medium,4.0,No,,,4.0,0
53.0,FINANCE,Manager,Medium,15.0,Yes,5.0,1.0,5.0,0
,Eng.,Associate,,3.0,Yes,8.0,0.0,4.0,1
25.0,engineering,Manager,High,16.0,No,7.0,1.0,3.0,0
,engineering,Manager,Medium,1.0,Yes,2.0,0.0,4.0,1
39.0,Human Resources,Manager,Low,11.0,Yes,0.0,2.0,4.0,0
56.0,Sales Dept,Specialist,Medium,0.0,No,1.0,4.0,3.0,0
38.0,engineering,Manager,Low,11.0,No,1.0,5.0,2.0,0
45.0,Eng,Manager,Low,11.0,No,6.0,,3.0,0
23.0,Sales,Manager,,11.0,No,5.0,3.0,4.0,1
34.0,Eng.,Analyst,Senior,18.0,No,,1.0,4.0,0
36.0,Eng.,Specialist,High,16.0,No,7.0,,4.0,1
26.0,Mktg,Analyst,Low,19.0,No,,1.0,,0
24.0,Engineering,Specialist,High,10.0,Yes,6.0,5.0,5.0,0
58.0,Engineering,Manager,,12.0,No,3.0,1.0,3.0,0
58.0,Human Resources,Specialist,Medium,7.0,No,0.0,4.0,4.0,0
58.0,HR,Associate,High,9.0,No,3.0,0.0,1.0,0
24.0,Sales,Director,Medium,7.0,Yes,3.0,5.0,,0
,Engineering,Associate,Low,19.0,No,,4.0,4.0,0
44.0,Marketing,Manager,Medium,7.0,No,3.0,2.0,5.0,0
49.0,Sales,Director,Medium,8.0,Yes,3.0,,3.0,0
51.0,ENGINEERING,Manager,Medium,6.0,No,1.0,4.0,1.0,0
39.0,Engineering,Manager,Medium,13.0,No,,2.0,3.0,0
57.0,ENGINEERING,Associate,Senior,1.0,No,6.0,,,0
54.0,Mktg.,Analyst,Senior,10.0,Yes,3.0,0.0,3.0,1
47.0,H.R.,Specialist,High,7.0,No,5.0,5.0,,0
61.0,Human Resources,Manager,High,12.0,No,2.0,3.0,5.0,0
38.0,Sales,Director,Senior,14.0,No,6.0,2.0,2.0,0
61.0,sales,Lead,Low,2.0,Yes,5.0,5.0,3.0,1
28.0,Marketing,Associate,Low,13.0,Yes,2.0,1.0,3.0,0
29.0,SALES,Associate,Medium,14.0,No,3.0,0.0,2.0,0
52.0,Engineering,Associate,High,1.0,Yes,9.0,,3.0,0
33.0,marketing,Specialist,Medium,18.0,No,,0.0,4.0,0
52.0,Human Resources,Analyst,High,11.0,No,,0.0,,0
40.0,sales,Associate,Low,19.0,No,5.0,,3.0,0
31.0,H.R.,Manager,Low,3.0,No,3.0,3.0,2.0,0
60.0,SALES,Analyst,High,2.0,Yes,6.0,0.0,3.0,0
33.0,SALES,Analyst,Low,4.0,Yes,,1.0,3.0,0
41.0,Eng,Manager,Medium,2.0,Yes,3.0,2.0,5.0,0
58.0,Marketing,Director,Low,14.0,No,4.0,1.0,,0
28.0,hr,Specialist,Medium,18.0,No,3.0,4.0,4.0,0
35.0,Marketing,Associate,High,1.0,Yes,3.0,5.0,,0
32.0,Eng,Director,Medium,11.0,No,8.0,1.0,3.0,0
28.0,Engineering,Analyst,Medium,4.0,No,1.0,,3.0,0
50.0,marketing,Manager,Low,16.0,No,5.0,1.0,1.0,0
31.0,SALES,Manager,High,13.0,Yes,7.0,0.0,4.0,0
50.0,SALES,Associate,Medium,9.0,Yes,7.0,3.0,3.0,0
30.0,finance,Analyst,Medium,2.0,Yes,6.0,1.0,3.0,1
57.0,marketing,Director,High,3.0,No,9.0,1.0,4.0,0
31.0,SALES,Specialist,Low,5.0,Yes,3.0,,3.0,0
40.0,Eng,Associate,High,15.0,No,6.0,4.0,5.0,0
52.0,ENGINEERING,Associate,Medium,6.0,No,9.0,,3.0,0
38.0,Mktg,Associate,Medium,14.0,No,5.0,2.0,4.0,0
30.0,hr,Analyst,Low,19.0,No,5.0,4.0,3.0,0
,Mktg,Analyst,,10.0,Yes,1.0,3.0,5.0,0
55.0,SALES,Specialist,High,0.0,No,7.0,2.0,3.0,0
45.0,ENGINEERING,Associate,Low,4.0,No,7.0,5.0,4.0,0
,Finance,Director,Medium,12.0,No,6.0,,2.0,0
28.0,finance,Analyst,High,13.0,No,,3.0,4.0,0
37.0,SALES,Associate,Medium,8.0,No,7.0,4.0,3.0,0
40.0,Engineering,Analyst,,16.0,Yes,8.0,2.0,3.0,0
60.0,sales,Analyst,Medium,14.0,Yes,,1.0,,0
27.0,hr,Manager,High,6.0,Yes,5.0,4.0,5.0,1
32.0,Marketing,Manager,Medium,11.0,No,1.0,,3.0,0
33.0,marketing,Analyst,Low,5.0,Yes,6.0,3.0,4.0,0
34.0,engineering,Analyst,Medium,15.0,No,2.0,,2.0,0
33.0,ENGINEERING,Associate,Senior,4.0,No,6.0,3.0,,0
42.0,Eng,Director,Medium,8.0,No,8.0,2.0,4.0,0
31.0,FINANCE,Director,Medium,13.0,No,9.0,3.0,,1
41.0,sales,Manager,,7.0,No,9.0,2.0,5.0,1
57.0,hr,Lead,Medium,13.0,Yes,,2.0,4.0,0
49.0,engineering,Analyst,High,11.0,Yes,5.0,3.0,3.0,0
45.0,Finance,Analyst,High,9.0,No,5.0,0.0,4.0,0
26.0,Human Resources,Associate,Low,19.0,No,8.0,1.0,2.0,0
58.0,Eng.,Analyst,Senior,19.0,Yes,8.0,,4.0,0
33.0,hr,Director,High,12.0,No,4.0,5.0,4.0,0
56.0,engineering,Director,High,18.0,Yes,4.0,1.0,2.0,0
61.0,Engineering,Lead,Medium,14.0,No,8.0,4.0,,0
23.0,Eng,Specialist,High,7.0,No,7.0,4.0,4.0,0
60.0,Fin,Lead,Low,9.0,No,,,4.0,0
30.0,finance,Analyst,Medium,2.0,No,,1.0,3.0,0
43.0,Sales,Specialist,High,2.0,No,5.0,5.0,3.0,1
26.0,marketing,Analyst,Low,4.0,Yes,2.0,2.0,4.0,0
33.0,marketing,Associate,Low,15.0,Yes,6.0,5.0,3.0,0
22.0,HR,Associate,High,16.0,No,7.0,3.0,3.0,0
43.0,Eng.,Analyst,High,5.0,No,7.0,0.0,4.0,1
59.0,SALES,Associate,Low,19.0,No,0.0,0.0,2.0,0
,marketing,Analyst,High,19.0,No,6.0,,4.0,0
37.0,Eng.,Manager,Medium,15.0,Yes,,1.0,4.0,0
52.0,sales,Lead,Medium,1.0,No,1.0,1.0,,0
24.0,marketing,Analyst,High,19.0,No,1.0,2.0,3.0,0
44.0,Eng,Analyst,Medium,14.0,No,7.0,0.0,3.0,0
39.0,Fin,Manager,Low,17.0,No,8.0,,,1
