sqft,bedrooms,bathrooms,year_built,distance_to_center_km,lot_size_acres,neighborhood_type,sale_price
993,4,2.0,1990,14.3,0.72,Suburbs,94700
1952,5,1.0,2002,4.5,0.55,Waterfront,286400
858,5,4.0,1996,8.4,0.47,Downtown,178200
1290,1,2.5,1996,10.4,0.24,Rural,85900
4056,5,1.5,1974,8.0,0.22,Rural,336800
1961,4,1.0,1988,1.2,0.86,Rural,193400
2949,5,3.0,2009,4.7,0.39,Rural,304400
3986,1,1.5,2002,6.6,0.38,Suburbs,368500
2968,1,2.0,1985,15.1,1.2,Suburbs,254400
2597,1,1.5,2003,4.7,0.31,Suburbs,247900
1569,1,1.5,1961,20.1,0.26,Suburbs,80000
2373,3,2.0,1979,4.6,0.21,Rural,208000
2694,5,3.5,1974,6.4,0.74,Suburbs,289300
1068,2,2.0,2011,12.7,0.79,Rural,109600
2399,5,4.0,1963,7.0,0.5,Downtown,283200
3492,3,1.5,1981,25.8,0.69,Waterfront,319900
3932,1,2.0,2009,8.6,0.97,Suburbs,366100
2038,3,3.5,1997,5.9,1.0,Suburbs,282500
1749,4,4.0,1982,0.5,1.15,Suburbs,249000
4042,4,1.0,2018,4.3,1.01,Rural,379500
3422,5,2.0,1985,2.8,0.72,Suburbs,371900
3130,5,2.0,2010,11.0,0.3,Waterfront,396100
2806,2,1.5,1970,1.9,0.21,Waterfront,350300
3338,2,4.0,1987,1.8,0.16,Rural,314700
2195,4,1.0,2015,1.7,0.83,Downtown,286400
1720,1,2.5,1961,1.1,0.99,Rural,153500
3076,3,2.5,2018,3.0,0.66,Rural,315500
2500,2,3.0,1967,17.4,0.16,Downtown,236100
1769,2,2.0,1988,11.9,0.69,Downtown,210600
1607,1,2.0,1970,10.6,1.13,Downtown,172300
752,1,1.0,1996,12.8,0.76,Downtown,113500
3589,5,3.5,1977,2.5,0.99,Suburbs,409100
3551,3,2.5,2014,17.5,0.98,Waterfront,381600
1819,1,3.0,2021,1.2,1.13,Suburbs,233100
2553,2,1.0,2009,3.3,0.95,Suburbs,285300
3748,2,2.0,1973,7.1,0.92,Waterfront,408200
2405,4,2.5,2013,0.9,0.36,Suburbs,294500
3227,1,4.0,1969,10.5,0.17,Rural,260500
1328,5,3.0,1994,3.9,0.67,Suburbs,204900
2618,3,1.5,1968,12.3,0.24,Suburbs,217900
1638,5,2.5,1994,5.4,1.16,Suburbs,235800
1755,2,3.0,1970,1.6,0.42,Suburbs,181800
3125,5,1.0,2022,10.6,1.04,Downtown,330300
2257,2,1.5,2003,2.3,0.53,Rural,240000
3519,2,3.0,1971,5.4,0.46,Suburbs,367100
2152,2,3.0,1962,0.6,1.13,Rural,220600
2439,2,2.0,2012,7.7,0.5,Suburbs,275000
1835,2,3.5,1998,8.8,0.53,Downtown,219700
1581,4,2.5,1973,3.8,0.22,Suburbs,176500
2075,5,2.0,2015,24.7,0.84,Downtown,244100
1711,4,4.0,1987,16.6,0.42,Rural,170200
2628,4,1.5,1970,9.8,0.74,Waterfront,354700
3208,1,3.5,1998,10.0,0.75,Rural,289100
3090,1,3.0,1984,2.3,0.89,Downtown,324700
2692,1,2.0,1980,8.6,0.92,Suburbs,249700
3410,3,3.5,1969,1.8,0.67,Suburbs,372000
3191,1,4.0,2002,1.2,0.46,Rural,309900
3921,5,2.5,1974,40.0,1.02,Downtown,295900
1928,4,4.0,1978,7.8,0.44,Suburbs,233400
1852,5,1.5,2007,4.5,0.66,Suburbs,217000
3244,1,1.0,1981,2.7,0.54,Downtown,326700
1243,3,2.0,1980,7.4,1.04,Suburbs,153500
3086,3,1.5,2019,0.5,0.58,Suburbs,319400
2071,4,1.0,2011,0.8,0.52,Rural,235400
2855,5,2.0,2003,0.5,0.86,Waterfront,421000
1677,2,1.5,1991,5.5,0.76,Suburbs,173200
2864,5,4.0,2009,7.3,0.22,Suburbs,320200
4189,1,1.5,1982,0.5,0.66,Suburbs,378700
1609,2,3.5,1972,10.2,0.91,Waterfront,243700
3106,3,4.0,1964,2.1,1.19,Waterfront,388400
4133,4,2.0,1963,9.2,0.79,Waterfront,443000
3925,4,1.5,1987,32.1,0.51,Rural,239100
2891,3,3.0,1973,9.4,0.35,Suburbs,273900
2932,1,2.0,1967,17.2,1.06,Rural,214000
3415,3,1.5,1968,23.7,1.0,Suburbs,241800
1823,1,3.5,2016,5.3,0.36,Suburbs,219200
3880,2,1.0,2010,9.7,0.32,Rural,293600
4000,3,1.0,1994,15.3,0.89,Downtown,365000
1465,1,3.0,1996,3.5,0.45,Downtown,195100
1053,2,2.0,1980,2.4,0.44,Suburbs,148100
1542,3,3.5,2017,23.4,0.27,Suburbs,143500
3375,4,1.5,1977,10.4,0.39,Rural,272900
4032,3,1.5,1992,2.0,0.57,Downtown,403700
717,5,1.0,1967,4.8,0.91,Downtown,138300
4184,3,3.5,2010,12.7,0.47,Downtown,453600
737,5,4.0,2008,6.3,0.46,Downtown,179100
2914,2,3.0,2023,8.4,0.41,Downtown,334000
2698,3,1.0,1976,11.2,0.63,Suburbs,231200
1808,2,1.0,2002,7.8,0.3,Suburbs,180500
2370,2,3.0,1990,6.2,0.63,Rural,237600
2024,1,2.0,1993,11.1,0.87,Waterfront,262600
2837,2,1.5,1965,10.4,0.13,Suburbs,242400
3315,2,2.0,1981,8.0,0.11,Downtown,369500
2830,3,3.5,1973,3.6,0.18,Downtown,330100
2293,3,4.0,1962,4.2,0.69,Rural,259600
827,4,2.5,1971,28.2,1.04,Suburbs,80000
3507,1,2.5,1995,1.0,0.11,Rural,293000
2031,2,2.5,1971,2.5,1.13,Rural,207800
3077,1,3.0,2004,5.4,0.22,Waterfront,371700
1557,5,1.0,1961,14.5,1.03,Waterfront,216200
3355,2,4.0,1961,1.4,0.63,Suburbs,339300
3147,1,2.0,1974,2.6,0.83,Suburbs,295500
1235,4,1.5,1982,0.5,0.66,Waterfront,232200
3160,4,2.5,1988,9.8,0.62,Suburbs,355700
1639,2,2.0,1976,2.2,1.02,Downtown,236400
1781,5,2.5,1991,3.9,0.93,Suburbs,237300
2819,4,4.0,1966,4.7,0.63,Suburbs,306300
2714,4,2.5,1989,17.8,0.22,Rural,232400
1869,5,1.5,1987,4.2,0.23,Suburbs,248300
3024,1,3.5,1973,1.3,0.98,Suburbs,325800
967,4,3.5,2003,5.9,0.68,Waterfront,248000
3506,3,4.0,1989,26.4,0.63,Rural,288700
2152,4,3.5,1976,7.5,0.85,Suburbs,247500
2684,1,3.0,1991,32.8,1.04,Suburbs,188100
3973,1,1.0,2005,14.7,0.79,Suburbs,342700
2692,2,3.0,1965,0.5,0.94,Suburbs,280000
1152,3,2.0,2010,8.6,0.94,Downtown,146500
2672,1,3.0,1983,2.7,0.49,Suburbs,261800
768,5,2.0,1965,6.6,0.4,Rural,101800
1359,3,2.0,1986,2.6,0.98,Suburbs,192900
694,3,1.0,1977,3.4,0.51,Suburbs,122500
963,5,1.5,1983,20.5,1.09,Downtown,119400
3900,4,4.0,1996,1.9,0.18,Suburbs,435400
1067,5,1.0,2015,16.6,0.16,Rural,88300
3253,5,4.0,1983,0.5,1.12,Suburbs,391300
1751,4,3.5,1997,0.8,0.81,Downtown,292200
975,4,3.5,1993,15.4,0.52,Suburbs,100100
4078,4,3.0,1999,8.0,0.93,Waterfront,466300
2089,4,2.0,2006,11.0,0.84,Suburbs,205700
2636,4,2.5,1974,1.9,0.68,Downtown,336100
3212,5,2.5,1970,6.2,0.21,Suburbs,309000
2911,2,4.0,1981,10.7,0.99,Rural,301200
723,2,2.0,2013,7.9,1.05,Suburbs,117800
2252,1,4.0,1983,5.1,0.29,Suburbs,209100
1158,2,1.0,1960,25.7,1.04,Suburbs,80000
3029,2,1.5,1977,9.0,1.07,Suburbs,276800
3814,5,1.0,2003,19.1,0.7,Rural,310000
1337,4,2.0,1971,10.5,0.82,Rural,105400
1306,4,2.0,2016,10.6,0.52,Suburbs,172000
2192,5,1.5,2002,0.7,0.41,Suburbs,275100
1942,2,4.0,1987,3.6,0.89,Downtown,256500
2049,5,3.0,1999,15.6,1.05,Suburbs,261300
3725,1,3.0,2019,2.1,0.82,Suburbs,371000
3859,4,1.5,1966,1.0,0.66,Downtown,383400
3952,3,3.0,1982,3.2,0.27,Downtown,383800
3297,1,2.5,1980,2.0,0.16,Downtown,359900
2202,1,3.0,1993,20.8,0.59,Waterfront,256100
1725,5,3.0,1970,16.2,0.15,Rural,131700
974,2,3.0,1981,5.5,0.73,Waterfront,189200
1641,4,2.5,2001,0.5,0.52,Downtown,245400
2643,3,4.0,1994,10.0,0.93,Waterfront,406900
1366,1,3.0,2011,7.8,0.44,Downtown,151700
3420,3,3.5,1988,28.2,0.75,Suburbs,258500
926,2,2.5,2001,6.5,0.69,Rural,138900
3233,2,1.5,1987,3.3,0.11,Suburbs,319300
801,3,1.0,2018,5.9,0.18,Suburbs,101800
1604,4,1.5,1977,31.0,0.42,Downtown,120400
2156,2,1.0,1973,9.5,1.07,Downtown,233500
908,3,1.5,1977,8.9,0.26,Suburbs,99600
3021,1,3.5,1987,2.2,0.88,Suburbs,347200
3714,3,1.0,1983,10.9,1.17,Rural,311000
1518,3,1.0,1967,11.1,0.97,Suburbs,161900
1841,5,2.0,2001,3.1,0.37,Suburbs,231600
1337,2,1.0,2013,5.3,1.1,Downtown,158300
959,4,1.0,2004,2.8,0.2,Downtown,145500
3500,4,2.0,2012,2.4,0.61,Waterfront,428100
2152,5,3.0,1967,0.5,1.08,Downtown,297000
3777,4,3.0,1963,2.7,0.81,Suburbs,415800
3317,3,2.0,1986,6.5,0.56,Downtown,351300
1122,5,2.5,1995,0.5,0.42,Rural,157000
4017,1,1.0,1964,2.7,0.51,Rural,341400
3158,2,1.0,1992,17.1,0.66,Suburbs,223900
4045,2,2.0,2008,7.2,0.45,Suburbs,362600
1463,2,2.0,1993,7.5,1.17,Suburbs,159200
1495,3,2.5,1989,4.1,1.13,Suburbs,203500
1814,1,3.5,1967,9.0,1.06,Downtown,234400
1316,5,3.0,1998,1.7,0.56,Rural,189000
2959,5,1.5,2022,13.7,0.86,Downtown,333700
2458,2,3.5,2006,1.0,1.09,Rural,264400
2093,1,4.0,1985,8.5,1.04,Suburbs,232800
2417,1,3.0,2016,3.3,0.56,Downtown,279900
1914,1,1.0,1996,11.0,0.22,Suburbs,169200
1004,4,4.0,1993,6.4,0.18,Suburbs,149000
2522,4,3.5,1966,4.8,0.73,Suburbs,256400
2674,2,2.0,2022,1.5,0.81,Suburbs,296600
3467,1,2.5,1999,8.1,1.03,Suburbs,292700
829,1,3.0,1987,29.4,0.42,Suburbs,80000
715,5,2.5,1998,14.0,0.28,Downtown,147100
1469,5,4.0,2021,0.5,0.52,Suburbs,250700
2021,2,3.0,1998,3.8,0.49,Suburbs,200000
820,1,3.5,1987,20.8,0.25,Suburbs,80000
3171,2,1.0,2022,5.6,0.84,Suburbs,310600
3231,5,1.5,1973,8.7,0.66,Suburbs,301000
2040,5,2.5,2012,19.5,0.89,Rural,153400
1780,4,2.5,2009,16.6,0.49,Rural,131900
3136,2,1.5,1997,5.6,0.46,Suburbs,287900
1484,2,2.5,1963,4.6,0.62,Suburbs,139400
876,1,2.5,2001,3.3,1.07,Suburbs,163100
4165,1,3.0,1977,10.2,0.14,Rural,336700
1091,4,3.0,2003,2.7,0.99,Downtown,202700
3093,3,1.5,2007,2.3,0.51,Suburbs,336100
1377,3,4.0,1984,3.5,1.04,Rural,195100
2254,3,1.0,1966,1.6,0.98,Downtown,268500
2781,2,3.5,1997,9.5,0.48,Downtown,304600
1686,2,3.5,1987,7.7,0.86,Suburbs,191300
2482,5,4.0,1964,5.3,0.28,Suburbs,265900
2498,2,2.5,1962,4.0,1.09,Rural,205600
3390,2,1.0,2003,19.2,0.54,Rural,266800
1142,2,1.5,1990,0.5,0.6,Downtown,171200
3989,4,4.0,2006,11.7,0.88,Downtown,429300
2198,2,1.5,2001,18.6,1.0,Suburbs,168900
1793,1,3.0,2017,4.7,0.36,Suburbs,202000
1619,1,2.5,1979,6.4,0.83,Suburbs,222500
3050,5,2.0,1978,23.1,0.53,Downtown,263700
3778,4,1.5,2007,1.9,0.51,Suburbs,405400
2737,1,4.0,2019,5.9,0.86,Suburbs,300500
4057,4,2.5,1970,5.2,0.53,Suburbs,396200
1289,4,1.0,1999,2.4,0.48,Suburbs,190200
822,5,4.0,1962,13.7,1.02,Suburbs,132100
2220,4,3.0,1982,18.4,0.21,Suburbs,190100
908,2,3.5,1966,12.2,0.84,Downtown,134400
1166,4,1.0,1982,1.7,0.37,Downtown,177000
3427,5,1.5,2020,0.7,0.12,Suburbs,395700
1172,5,1.5,1966,7.4,0.28,Suburbs,107700
2567,5,1.0,2005,0.5,0.77,Suburbs,261600
3536,1,1.5,1993,8.9,0.88,Suburbs,281200
2814,2,4.0,2001,6.0,0.12,Suburbs,274900
2881,1,2.5,1978,8.7,0.14,Rural,237400
2579,3,1.5,2017,7.1,1.09,Suburbs,287500
1789,2,3.0,1968,4.4,0.18,Downtown,206400
2859,4,2.5,2007,1.8,1.08,Downtown,359000
3240,5,4.0,2010,2.9,0.35,Suburbs,349000
3958,3,2.0,1977,5.9,0.91,Suburbs,352300
1488,2,1.5,2000,8.4,0.44,Downtown,192900
1739,1,1.5,2007,12.1,1.04,Suburbs,185900
1743,5,3.0,2004,11.7,0.87,Downtown,235300
3144,1,4.0,2001,28.8,0.54,Suburbs,267500
3113,2,3.0,1984,2.7,0.18,Suburbs,324600
3229,2,3.5,2011,0.6,0.91,Rural,361600
3138,3,4.0,1973,3.4,0.78,Downtown,357800
3435,4,1.0,2003,10.9,0.1,Rural,306500
2619,1,1.0,1984,4.6,0.11,Rural,241900
3161,3,1.0,1978,13.6,0.99,Suburbs,262700
3093,5,3.0,1998,6.4,0.39,Downtown,355100
3408,4,1.0,2014,21.3,0.8,Suburbs,268000
2224,3,4.0,1974,23.6,0.6,Rural,140700
2230,1,1.0,1975,0.6,1.05,Rural,179400
3092,2,2.0,1986,4.9,1.11,Suburbs,290800
3023,5,1.0,1999,7.5,1.2,Rural,291000
1764,1,1.5,1969,2.4,0.27,Downtown,184800
1399,4,3.5,2022,4.2,1.05,Downtown,257600
1743,4,3.0,1963,9.1,0.39,Waterfront,269700
1839,2,2.5,2010,2.1,0.75,Rural,192300
3339,2,3.5,1978,7.4,0.66,Suburbs,320300
2911,5,2.0,2022,9.6,0.12,Rural,262200
2525,5,3.0,1987,0.8,1.13,Waterfront,385700
4056,2,4.0,1980,5.5,0.19,Rural,343500
2437,2,3.0,2018,2.4,0.86,Rural,261300
3066,4,1.5,2006,10.3,0.96,Rural,265600
2257,2,4.0,1973,1.7,0.97,Downtown,273500
698,3,3.5,1992,17.8,0.25,Rural,80000
1725,1,3.5,2007,4.5,0.59,Downtown,248800
1962,2,1.0,1969,1.8,1.01,Rural,198400
2299,5,4.0,1978,4.6,0.43,Suburbs,255000
3960,3,1.5,1989,4.2,0.61,Suburbs,362100
2830,5,1.0,1981,4.5,0.4,Suburbs,285300
3696,3,1.0,1962,7.0,0.61,Downtown,341300
3483,2,3.0,1996,5.9,1.08,Suburbs,359900
1839,1,3.5,2000,1.3,0.6,Waterfront,313500
2047,5,1.0,1977,0.5,0.71,Waterfront,325300
3070,3,2.0,1970,10.5,0.54,Suburbs,298900
2478,4,2.0,2007,6.6,0.61,Waterfront,358400
4199,2,3.5,1961,3.6,0.12,Rural,362000
1128,1,2.0,1971,13.2,0.41,Suburbs,86300
1481,2,3.0,2013,3.9,0.58,Downtown,222700
3347,4,1.5,1965,12.7,0.8,Waterfront,352700
2264,1,2.5,2002,2.9,0.6,Suburbs,210200
1331,4,1.0,2018,0.6,0.47,Rural,170100
3385,2,2.5,1999,21.6,0.53,Rural,268300
1973,3,1.5,2003,4.0,0.37,Rural,183800
731,2,1.5,1988,12.6,1.12,Suburbs,113300
